Event Name,About the event,Important Info,,,,,,,,Rules,Contact,Form/Link
SYNPD,"British Parliamentary Debate:- British Parliamentary (BP) Debate is a popular format for competitive debating, particularly in university settings worldwide. It involves four teams, two on each side of the motion, and follows a structure inspired by the British Parliament. Each team consists of two speakers, resulting in eight speakers in total.

Format Overview:
Teams:

Government Side (Proposition): Supports the motion.
Opening Government (OG): Prime Minister (PM), Deputy Prime Minister (DPM)
Closing Government (CG): Government Member (GM), Government Whip (GW)
Opposition Side: Opposes the motion.
Opening Opposition (OO): Leader of Opposition (LO), Deputy Leader of Opposition (DLO)
Closing Opposition (CO): Opposition Member (OM), Opposition Whip (OW)
Speeches:

Each speaker delivers a 7-minute speech.
The first and last minute of each speech is protected, meaning no points of information (POIs) can be offered.
Between the second and sixth minutes, opponents can raise POIs, brief questions or comments that the speaker can choose to accept or decline.
Speaking Roles and Responsibilities:
Opening Government (OG):

Prime Minister (PM): Defines the motion, introduces the government case, and outlines arguments in support of the motion.
Deputy Prime Minister (DPM): Rebuilds and extends the case for the government while refuting points made by the opposition.
Opening Opposition (OO):

Leader of Opposition (LO): Responds to the PM's case, refutes government arguments, and presents the opposition's stance.
Deputy Leader of Opposition (DLO): Extends opposition's case, rebuts DPM, and solidifies opposition arguments.
Closing Government (CG):

Government Member (GM): Presents a new argument or “extension” for the government side, building on the opening government’s case.
Government Whip (GW): Summarizes the entire debate from the government's perspective, refuting the opposition and not introducing new arguments.
Closing Opposition (CO):

Opposition Member (OM): Provides a new extension for the opposition side, distinct from the opening opposition’s arguments.
Opposition Whip (OW): Delivers the opposition's closing summary, refuting the government and providing a holistic view of the opposition's case.",Offline,2,,30k,,9Nov - 10 Nov,,,"In British Parliamentary Debate (BPD), four teams of two speakers each compete: two teams on the Government side (supporting the motion) and two on the Opposition side (opposing the motion). The debate consists of 7-minute speeches, with each team ranked 1st to 4th based on performance. The first and last minute of each speech is protected, during which no Points of Information (POIs) can be offered. Between the second and sixth minutes, speakers can accept POIs from opponents. The Opening teams present their cases, while the Closing teams must provide an extension, introducing new arguments or perspectives. The final Whip speeches are reserved for rebuttal and summaries only, with no new material allowed. Adjudication is based on argument quality, rebuttal, strategy, and overall contribution to the debate.",,
Valorant,"Valorant 5v5 character-based tactical FPS where precise gunplay meets unique agent abilities! The main game mode focuses on Search and Destroy where one team attacks by planting a bomb, and the other defends by avoiding detonation. More than guns and bullets, you’ll choose an Agent armed with adaptive, swift, and lethal abilities that create opportunities to let your gunplay shine. Tactics beat gunplay!",Offline,5,no theme,5k,not decided,9 Nov 24,9 Nov 24,Subject to Participation (2 Rounds),All Weapons / Agents / Abilities are allowed unless currently disabled in Ranked Mode. Make sure you have the latest version of the game before the day of the match. No delays will be allowed on the day of the match. All matches except the Finals (and Semi-Finals depending on the total number of teams) will be knockouts.,Assign Volunteer,Create form
BGMI,"BGMI Showdown, a battleground where teams collide in intense battles. Demonstrate your gaming prowess, securing kills for bonuses as you strive for triumph in this gripping showdown. Brace yourself for an adrenaline-fueled experience of strategic combat and seamless teamwork, as every move counts in this electrifying gaming spectacle!",Offline,4,no theme,5k,not decided,9 Nov 24,9 Nov 24,Subject to Participation (2 Rounds),"You are only allowed to play mobile phones. (No tablets and No controllers allowed) Cheating, aim assists, emulation, wall hacks or any tampering with the BGMI client will lead to instaban from the match and tournament. Scoring will be based on position and kills If there are more registrations than expected, we'll have a prelims of Battle Royale",Assign Volunteer,Create form
CODM,"CODM Championship, where teams engage in intense team deathmatches. Showcase your gaming prowess, secure kills for bonuses, and strive for victory in this thrilling championship. Get ready for the adrenaline-fueled action of strategic combat and teamwork!",Offline,5,no theme,5k,not decided,9 Nov 24,9 Nov 24,Subject to Participation (2 Rounds),"If the team isn't filled on start time, the team has to play handicapped. You are only allowed to play on mobile phones. (No tablets and No controllers allowed) Cheating, aim assists, emulation, wall hacks, or any tampering with the CODM client will lead to an instaban from the match and tournament. Scoring will be based on position and kills. If there are more registrations than expected, we'll have a prelims of Battle Royale.",Assign Volunteer,Create form
EAFC,"Welcome to EAFC– an exhilarating 11v11 football spectacle where strategic brilliance rules! In this premier simulation, it’s not just about scoring goals; it's about building a winning team with tactical precision. Master coordinated plays, outsmart opponents, and experience the essence of football where every decision counts, and victory goes to the most tactically savvy teams!",Offline,1-2,no theme,3k,not decided,9 Nov 24,9 Nov 24,Subject to Participation (2 Rounds),"You cannot select any fictional or All-Star teams. Any regular-season teams, as installed with the original game, can be selected. Each round will be a knock-out round. Each player can bring his/her own controller. If a controller is defective, a Player can pause the game on the approval of their opponent and notify the referee. Both players can select the same team (e.g. Barcelona). In that case, the ‘away’ player will have to pick Away Jersey for that team. In general, ‘away’ players are responsible for picking the jersey that does not resemble the home team jersey. In case of a dispute, the selection of home and away side will be decided via a coin toss. In case of a tie, the match will go to extra time (Classic for knockout rounds), then penalties. Players will not be allowed to switch/sub with some other player. In case of any dispute, the word of the referee will be final. Half Length: 4 minutes (Until Quarter-Final), 6 minutes (Semi-Finals(2 legs, away goals rules apply) and Finals). There will be a third place competition (one leg only). Match type: Classic Kick-Off Fifa Trainer: Off Difficulty Level: Legendary Game Speed: Normal All Formations, Tactics should be decided before the starting of the match (2 mins will be provided for the same). If you want to pause mid-game, you have to ask your opponent first and you can pause only on his/her approval. If players are not present for their match in the allotted time without any justification for the same, they will be considered for disqualification. Rules are subject to change, and any change will be at the discretion of the Organizers.",Assign Volunteer,Create form
Clash Royale,"Clash Royale is your opportunity to showcase your skills, experience the thrill of the game, and enjoy an action-packed gaming showdown!",Offline,1,no theme,3k,not decided,9 Nov 24,9 Nov 24,Subject to Participation (2 Rounds),The tournament will last for 4 hours and will involve normal matches in Clash Royale. Matches will be played according to the standard rules of the game. Cheating is not allowed and may result in disqualification. The player with the most trophies at the end of the tournament will be declared the winner and will receive a prize.,Shreyas S 9663712696,Create form
Lockout Duel 2.0,"Think you're fast at solving coding problems? Prove it in Lockout Duel 2.0 -  a knockout challenge where you face off one-on-one, and the first to solve wins. The last one standing takes it all!",Offline,Individual,no theme,15k,not decided,9 Nov 7pm onwards,9 Nov,Knock-out tournament,"- Participation is limited to IIIT-B students no external participants are allowed
-Participants are randomly paired to compete in one-on-one duels. 
- The winner of each duel advances, while the loser is eliminated.
- The tournament continues until only one participant remains, who is declared the champion. The final opponent takes the second prize.
- For each duel, a toss determines who picks either the problem category or the difficulty rating. The other participant selects the remaining option.
- A random unsolved problem is selected by the platform, based on the chosen category and rating.
- Both participants race to solve the problem on Codeforces. The first to receive an ""Accepted"" status wins.
- All participants must have active Codeforces accounts.", ,Create form
MERNify,"MERNify is a 36hr full-stack development hackathon where the brightest engineering minds can come together to solve real-life problems that have a meaningful impact.  Judge of the Hackathon is 2007 - IIITB Alumnus, Imanpreet Singh Arora. He will also remotely mentor the participants via discord.",Offline,1-3,"Theme: Pixel-Art Problem Statement: Gamified Language Learning App Models required to be used: Llama or Gemini Frontend: React Native or Flutter Backend: Django, MERN, flask, spring etc.  Databse: MongoDB or MySQL (for Django dsqlite3 databse will be accepted), or firebase database   Important Note: Using Firebase for full backend process is not acceptable, there should be some backend component which the participant has designed (coded)    ",30k,14 K | 9K | 7K,7Nov 9pm - 8Nov 9pm,7 November,1 round,"1. Eligibility
Participation is limited to IIIT-B students; no external participants are allowed. 2. Please refer to the detailed problem statement to understand the rules. The judges retain the right to withhold prizes if submissions do not meet the expected standards. 3. Participants can form teams of atmost 3 people. 4. This is a 36 -hr hackathon (12-hr extension will be there). 5. Libraries mentioned in the problem statement are necessary to use. 6. Participants need to stick with the theme of the hackathon. 7. Participants need to join the discord channel and need to give their 12-hr updates. Mentor will be their to guide the participants through the hackathon. 8. It is compulsory to use version control throughout the hackathon and not making only one commit at the end (commit history will be checked). ",Assign Volunteer,Create form
Deep Reality,"Can you identify whether a image,video,audio is real or generated by AI? If yes, then this event is for you",Offline,1-3,Multiple Themes revealed during event,5k,3k | 2k,8 Nov 11:00am onwards,8 Nov 24,Multiple Rounds based on participation,"1. Eligibility
Participation is limited to IIIT-B students; no external participants are allowed. 2. Its a point based system per round,, 30 seconds per image,video clip,audio file with reasoning behind their choices , Each team can discuss answers, but only one team member should submit the final answer.Use of phones or external devices is strictly prohibited. Judges' decision on disputed images is final",Assign Volunteer,Create form
ReelRiot,"Reel Riot is an exciting competition designed exclusively for IIIT-B students as part of the Synergy Tech Fest. It offers students the chance to showcase their creativity and videography skills by capturing the essence of the three-day tech fest through short, engaging reels. Participants will document key events, workshops, and vibrant moments, crafting dynamic reels that highlight the spirit and excitement of the tech fest.",Offline,Individual,no theme,10k,6k | 3k | 1k,8 to 10 november,7 November,1 round,"1. Eligibility
Participation is limited to IIIT-B students; no external participants are allowed.
2. Participation Format
Individual Participation Only: Team participation is not allowed. Each participant must register individually.
3. Theme and Content
All reels must document the Synergy Tech Fest events over the three-day period.
Reels should creatively capture the essence of the tech fest, including workshops, competitions, key moments, and the overall atmosphere.
Stock footage can be used to enhance the storytelling but must complement original footage shot during the event.
Each participant must submit only one reel capturing the highlights of the entire Synergy Tech Fest.
4. Reel Specifications
Duration: Reels must be between 15 seconds and 1 minute long.
Format: Vertical video, 9:16 aspect ratio (preferred format for reels).
Content: All footage must be original and shot during Synergy Tech Fest, except for limited stock footage.
5. Submission Guidelines
Online Drive Submission: Participants must submit their reels via a Google Drive link provided by the organizers. No Instagram uploads are allowed.
Ensure that the reel is correctly labeled with the participant's name and the title of the reel.
6. Deadline
All submissions must be uploaded to the provided Online Drive by 8 PM on the final day of the tech fest.
7. Judging Criteria
Reels will be judged based on:
Creativity and Storytelling (40%): How well the reel captures the fest's energy and tells a compelling narrative.
Cinematography and Editing (30%): Visual quality, smoothness of transitions, and overall technical execution.
Relevance (30%): How well the reel reflects the key events and moments of Synergy Tech Fest.
9. Code of Conduct
Respect: Participants must respect the privacy of other attendees and secure permission before filming individuals.
Inappropriate Content: Any offensive, vulgar, or inappropriate content will result in immediate disqualification.
Fair Play: All submissions must be original work created during the fest, with only limited use of stock footage allowed.
10. Disqualification
Participants may be disqualified for:
Failure to adhere to the submission guidelines or deadlines.
Use of excessive stock footage or pre-recorded footage unrelated to the fest.
Violation of the event's code of conduct.",no volunteer needed,https://forms.office.com/r/eUyQWv26a3
,,,,,,,,,,,,
,,,,,,,,,,,,
Sands of Time 2.0,"This is *8Bit*’s take on *Sands of time*, a cryptic game originally from Minecraft Championships. Teams enter their own dungeons and compete against the clock to collect as much hidden gold as they can. Keeping the timer topped up with sand is the only way for you to stay in the game. If you ~die~ unalive, your team must sacrifice resources to revive you. Bank your gold by offering it to the sphinx for a fee, or keep every coin by leaving the dungeon. However, if you leave, you can’t return. So, in our version of this game we have QR codes stuck around our campus which when scanned can give either sand, gold or vault/vault key. Vaults contain enormously high amounts of gold but are harder to find as well. Be the team with the most gold when the sand runs out, and win some _golden_ prizes.",Offline,,no,,,,,1 Round,- Participation is limited to IIIT-B students no external participants are allowed,Harsh Modi 9660831133,
